MSSubClass,MSZoning,LotFrontage,LotArea,Street,OverallQual,OverallCond,YearBuilt,YearRemodAdd,BsmtFinSF1,BsmtUnfSF,TotalBsmtSF,Heating,G-central,GrLivArea,G-BedroomAbvGr,FullBath,HalfBath,TotRmsAbvGrd,Fireplaces,GarageCars,GarageArea,WoodDeckSF,OpenPorchSF,PoolArea,YrSold,SaleType,SaleCondition,SalePrice
60,RL,65,8450,Pave,7,5,2003,2003,706,150,856,GasA,Y,1710,3,2,1,8,0,2,548,0,61,0,2008,WD,Normal,208500
20,RL,80,9600,Pave,6,8,1976,1976,978,284,1262,GasA,Y,1262,3,2,0,6,1,2,460,298,0,0,2007,WD,Normal,181500
60,RL,68,11250,Pave,7,5,2001,2002,486,434,920,GasA,Y,1786,3,2,1,6,1,2,608,0,42,0,2008,WD,Normal,223500
70,RL,60,9550,Pave,7,5,1915,1970,216,540,756,GasA,Y,1717,3,1,0,7,1,3,642,0,35,0,2006,WD,Normal,140000
60,RL,84,14260,Pave,8,5,2000,2000,655,698,1353,GasA,Y,2198,4,2,1,9,1,3,836,0,84,0,2008,WD,Normal,250000
50,RL,85,14115,Pave,5,5,1993,1995,732,877,1609,GasA,Y,1382,2,2,0,6,0,2,480,60,84,0,2007,WD,Normal,143000
20,RL,75,9920,Pave,5,7,1953,2007,0,620,620,GasA,Y,960,2,1,0,5,0,0,0,0,0,0,2010,WD,Abnorml,189900
60,RL,60,6820,Pave,7,5,2004,2005,576,384,960,GasA,Y,1535,3,2,1,7,1,3,468,192,30,0,2009,WD,Normal,179900
50,RL,51,6120,Pave,7,5,1965,1965,480,1200,1680,GasA,Y,1152,2,1,1,6,0,0,0,0,0,0,2008,WD,Normal,129900
190,RL,50,10000,Pave,5,6,1920,1950,804,96,900,GasA,N,1080,2,1,1,5,0,0,0,0,0,0,2009,WD,Normal,118000
