provinsi,populasi,gdp,sektor,pengangguran,kemiskinan_persen,tingkat_pendidikan
Jakarta,10562088,2762.4,Jasa,5.8,4.5,99.2
Jawa Barat,48274162,1586.3,Manufaktur,7.2,6.8,96.1
Jawa Timur,40665696,1124.8,Pertanian,4.6,10.2,95.8
Jawa Tengah,36516035,812.5,Pertanian,4.3,11.5,95.2
Banten,12689256,483.2,Manufaktur,7.8,6.1,95.5
DKI Jakarta,10562088,2762.4,Jasa,5.8,4.5,99.2
Sumatera Utara,14799361,342.7,Pertanian,5.9,12.8,93.4
Sumatera Barat,5534472,198.3,Pertanian,4.9,14.2,94.8
Riau,6795264,385.6,Industri,5.2,7.3,96.2
Jambi,3541334,112.8,Pertanian,5.5,15.1,93.1
Sumatera Selatan,8416978,215.4,Pertanian,5.7,14.8,93.6
Bengkulu,2010670,52.3,Pertanian,5.4,15.7,93.2
Lampung,9007848,187.6,Pertanian,5.1,12.3,93.8
Bangka Belitung,1455604,47.8,Pertanian,4.8,8.9,95.1
Kepulauan Riang,722716,28.9,Pertanian,5.3,19.4,92.7
Kalimantan Barat,5414390,132.5,Pertanian,5.0,12.6,93.5
Kalimantan Tengah,2669968,82.7,Pertanian,5.3,10.8,94.1
Kalimantan Selatan,4073584,168.4,Pertanian,4.7,8.2,95.6
Kalimantan Timur,3766039,289.5,Industri,4.5,6.9,96.8
Kalimantan Utara,701814,35.2,Pertanian,6.2,11.4,92.9
Sulawesi Utara,2621923,78.6,Pertanian,5.1,10.5,94.3
Sulawesi Tengah,2985734,92.4,Pertanian,5.4,11.2,93.7
Sulawesi Selatan,9073509,267.8,Pertanian,4.8,9.6,94.9
Sulawesi Tenggara,2624875,68.3,Pertanian,5.6,13.5,93.3
Gorontalo,1171681,28.7,Pertanian,5.8,15.3,92.6
Maluku,1848923,42.5,Pertanian,5.9,16.2,92.4
Maluku Utara,1282937,31.8,Pertanian,6.1,17.8,91.8
Papua Barat,1134068,38.6,Pertanian,6.4,21.3,90.5
Papua,4309021,112.4,Pertanian,6.8,27.8,88.2
Bali,4317404,232.5,Pariwisata,3.2,3.8,97.1
Nusa Tenggara Barat,5320092,142.6,Pertanian,5.4,15.6,93.4
Nusa Tenggara Timur,5325566,102.8,Pertanian,5.8,20.2,91.7
Aceh,5274871,138.5,Pertanian,5.6,14.7,93.9
